"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch";"Zmierzch.Zycie i Smierc"
"abbott";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aberforth";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"absolwent";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"acreso";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"adama";0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
"adres";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"aequo";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agent";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agresja";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agresywny";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ahoszt¹";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"ain";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akcja";4;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"akromantulê";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aktualny";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"alarm";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alastor";2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"albatros";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"albus";5;0;2;0;1;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"albusa";0;5;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"albusem";0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"albusie";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"albusowi";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alchemik";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alec";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"alecto";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alejka";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"alice";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3;2;1;0
"alicji";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ami";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"amos";1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"amosa";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"amosem";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"amycus";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"amycusa";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"analizowaæ";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"analogiczny";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"and";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"andromeda";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"andrzeja";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"andrzejem";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"anga¿owaæ";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"angeles";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"angelina";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"angli¹";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"anglii";0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
"animag";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"animagami";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"animagiem";1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"anonim";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"anonsowaæ";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"anradin";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"anradina";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"antidotum";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"apelacja";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"apetyczny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"aportowaæ";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aragog";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aragoga";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"arawis";0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
"archenlandii";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"aresztowaæ";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"aresztowany";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"argoz";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"argoza";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"argument";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"arizona";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"armia";0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0
"aro";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0
"arogancki";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"arszisza";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"artefakt";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"artur";1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"artura";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"artyku³";6;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"aslan";0;0;0;0;0;0;0;0;0;11;17;0;1;1;0;0;0;0;0;0
"aslana";0;0;0;0;0;0;0;0;0;9;10;2;5;2;2;0;0;0;0;0
"aslanie";0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0
"aslanowi";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"astoria";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"astronomia";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"astronomiczny";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"asysta";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"atak";1;0;0;0;3;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0
"atakowaæ";1;1;0;0;0;0;1;4;0;2;0;0;0;0;0;0;0;0;0;1
"atmosfera";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"augustus";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aurora";2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aurorem";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"autobus";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"autor";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"autorstwo";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"avada";2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aviemore";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"azkabanie";2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"azkabanu";1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"a¿eby";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"babcia";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bachus";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"bachusem";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"bacznoœæ";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"baæ";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0
"badaæ";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"bagman";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bagmana";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bagno";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"bajka";0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"bal";4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"baletowy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"bali";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"ba³agan";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"banda";0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"bank";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"baranek";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bardo";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bardziej";5;0;0;0;0;2;1;0;0;1;0;0;3;0;0;0;0;0;0;0
"bariera";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
